diag_id,object_id,method,date,temperature,humidity,illumination,defect_found,defect_description,quality_grade,param1,param2,param3,ml_label
1,679,MFL,2019-06-09,-10.0,36.7,969.9,False,,удовлетворительно,,,,normal
2,244,UZK,2021-06-07,-23.1,88.7,599.6,True,вмятина - ПОКН,недопустимо,12.48,64.3,180.5,high
3,43,MFL,2019-07-28,32.6,58.3,407.3,False,,удовлетворительно,,,,normal
4,62,UZK,2020-03-16,-26.3,34.7,393.7,True,потеря металла - ЯЗВА,допустимо,9.23,164.9,28.3,normal
5,116,UZK,2022-03-14,-2.3,87.0,349.2,True,потеря металла - ЯЗВА,допустимо,24.27,286.5,173.3,medium
6,785,MFL,2024-12-25,41.8,66.2,467.2,True,потеря металла - ЯЗВА,удовлетворительно,8.55,89.2,132.2,normal
7,33,VIK,2019-06-27,2.1,21.5,266.9,True,аномалия сварного шва - ШОВ,требует_мер,50.69,309.4,76.0,high
8,220,UZK,2021-05-31,38.5,40.4,428.2,False,,удовлетворительно,,,,normal
9,25,VIBRO,2018-10-11,10.7,69.6,183.7,False,,удовлетворительно,,,,normal
10,748,MFL,2025-05-29,25.9,24.9,468.5,True,вмятина - ПОКН,допустимо,58.69,232.2,54.4,high
11,625,MFL,2016-09-13,-14.4,88.5,471.7,True,аномалия сварного шва - ШОВ,требует_мер,12.04,464.6,44.5,medium
12,358,VIK,2019-06-29,39.8,72.1,369.4,True,аномалия сварного шва - ШОВ,требует_мер,51.62,313.5,93.4,high
13,207,MFL,2016-10-19,-4.6,54.2,441.2,True,расслоение - ВМТ,допустимо,35.49,390.9,155.6,medium
14,96,TFI,2018-02-25,-17.7,27.0,348.6,False,,удовлетворительно,,,,normal
15,139,UZK,2022-05-21,18.1,39.9,894.0,True,трещина - ТРЩ,требует_мер,21.52,374.4,184.4,medium
16,581,MFL,2021-11-21,11.1,81.0,753.9,False,,удовлетворительно,,,,normal
17,500,UZK,2023-07-02,15.4,65.2,768.6,False,,удовлетворительно,,,,normal
18,792,MFL,2017-01-30,10.7,85.5,583.5,True,аномалия сварного шва - ШОВ,удовлетворительно,25.59,42.4,15.9,high
19,427,UZK,2018-04-19,-24.4,68.1,290.0,True,аномалия сварного шва - ШОВ,удовлетворительно,32.91,302.9,18.1,medium
20,520,TVK,2022-03-28,5.7,60.8,549.5,True,потеря металла - ЯЗВА,недопустимо,3.39,168.2,64.1,high
21,98,VIK,2018-03-22,32.2,27.8,209.5,True,аномалия сварного шва - ШОВ,удовлетворительно,56.99,264.1,34.6,high
22,54,RGK,2025-02-21,6.6,36.0,507.6,False,,удовлетворительно,,,,normal
23,347,MFL,2022-06-24,41.7,54.6,548.2,True,расслоение - ВМТ,требует_мер,38.08,46.6,28.0,high
24,523,MFL,2021-01-27,-10.9,68.8,568.5,False,,удовлетворительно,,,,normal
25,553,RGK,2019-08-12,-6.6,23.6,850.9,True,овальность - ОВЛ,допустимо,24.53,175.3,198.5,medium
26,506,MFL,2025-07-24,1.5,37.2,164.0,True,расслоение - ВМТ,удовлетворительно,35.59,225.6,19.2,medium
27,36,VIK,2018-12-19,26.8,47.7,369.8,True,потеря металла - ЯЗВА,удовлетворительно,10.91,193.4,175.2,normal
28,760,MFL,2023-08-28,32.3,44.9,114.0,False,,удовлетворительно,,,,normal
29,49,TFI,2020-01-01,6.3,57.0,172.7,False,,удовлетворительно,,,,normal
30,585,MFL,2019-06-27,-25.0,60.8,873.4,False,,удовлетворительно,,,,normal
31,165,UZK,2018-10-27,19.2,31.2,920.9,True,расслоение - ВМТ,удовлетворительно,48.91,271.3,40.2,medium
32,287,UZK,2017-01-08,-8.0,56.9,866.6,False,,удовлетворительно,,,,normal
33,668,TVK,2016-05-09,24.9,47.3,465.0,True,овальность - ОВЛ,допустимо,51.21,200.8,113.6,high
34,619,UZK,2016-01-23,34.3,91.7,627.7,False,,удовлетворительно,,,,normal
35,70,UZK,2016-12-10,-12.4,47.0,865.2,True,аномалия сварного шва - ШОВ,удовлетворительно,59.24,150.8,199.2,high
36,10,GEO,2023-07-14,39.0,60.6,436.8,True,коррозия - ОБШР,удовлетворительно,45.07,333.0,39.5,high
37,180,UZK,2020-10-16,14.1,21.7,931.2,True,расслоение - ВМТ,допустимо,3.94,357.7,109.2,normal
38,657,GEO,2016-09-20,20.0,82.5,912.0,True,вмятина - ПОКН,требует_мер,26.45,417.4,35.0,medium
39,314,MFL,2020-01-15,-3.8,25.5,681.1,True,вмятина - ПОКН,удовлетворительно,53.1,492.0,99.2,high
40,456,RGK,2021-11-04,3.0,25.6,948.5,True,вмятина - ПОКН,удовлетворительно,17.94,212.4,136.6,normal
41,676,VIK,2025-05-02,-5.9,63.6,325.4,True,аномалия сварного шва - ШОВ,удовлетворительно,46.36,241.5,114.8,medium
42,250,GEO,2020-04-18,-16.7,52.0,237.5,True,расслоение - ВМТ,требует_мер,49.99,369.6,168.7,medium
43,277,UZK,2018-10-18,8.3,39.7,597.4,False,,удовлетворительно,,,,normal
44,660,MFL,2020-11-10,38.1,92.4,838.6,True,трещина - ТРЩ,удовлетворительно,47.68,129.1,63.1,high
45,439,MFL,2018-07-15,-7.1,36.8,690.5,False,,удовлетворительно,,,,normal
46,349,RGK,2019-09-15,-14.4,61.2,601.8,False,,удовлетворительно,,,,normal
47,172,MPK,2021-05-28,-12.8,37.8,836.0,False,,удовлетворительно,,,,normal
48,171,TFI,2024-01-13,39.4,29.2,261.8,False,,удовлетворительно,,,,normal
49,417,TFI,2020-11-30,6.1,66.3,781.1,True,коррозия - ОБШР,удовлетворительно,16.34,402.1,199.3,normal
50,423,PVK,2020-01-14,34.5,57.9,691.8,False,,удовлетворительно,,,,normal
51,776,GEO,2020-05-30,26.6,48.2,106.9,True,трещина - ТРЩ,допустимо,44.05,25.9,31.7,medium
52,228,MFL,2016-01-18,-8.9,54.8,755.9,True,трещина - ТРЩ,удовлетворительно,25.85,357.1,82.5,high
53,277,UZK,2019-06-08,43.4,51.7,234.8,True,расслоение - ВМТ,допустимо,10.7,474.2,162.5,normal
54,83,MFL,2024-01-20,12.5,42.5,113.7,False,,удовлетворительно,,,,normal
55,750,UZK,2022-10-23,13.0,44.1,593.6,True,аномалия сварного шва - ШОВ,требует_мер,4.55,405.4,190.0,medium
56,362,UZK,2016-04-17,18.5,55.8,995.1,False,,удовлетворительно,,,,normal
57,147,MFL,2020-10-16,25.5,66.2,648.7,True,коррозия - ОБШР,удовлетворительно,10.17,286.7,19.8,normal
58,278,MFL,2019-06-06,35.6,78.1,158.6,True,коррозия - ОБШР,удовлетворительно,52.72,468.7,174.3,high
59,633,UZK,2018-03-03,43.4,45.9,496.1,True,коррозия - ОБШР,требует_мер,21.43,391.6,17.1,high
60,549,TFI,2025-09-30,42.5,38.2,885.4,False,,удовлетворительно,,,,normal
61,205,VIK,2022-05-11,9.1,58.4,429.4,False,,удовлетворительно,,,,normal
62,529,TFI,2024-06-30,16.0,52.2,906.6,False,,удовлетворительно,,,,normal
63,101,VIBRO,2022-11-02,-18.3,40.4,390.0,True,трещина - ТРЩ,допустимо,48.2,481.4,126.6,medium
64,623,UZK,2020-07-16,32.8,55.2,527.5,True,аномалия сварного шва - ШОВ,допустимо,46.43,227.8,142.0,medium
65,125,UZK,2025-03-28,26.2,73.2,374.6,True,коррозия - ОБШР,удовлетворительно,34.72,171.0,77.3,medium
66,112,MFL,2021-10-28,-13.6,60.4,257.4,False,,удовлетворительно,,,,normal
67,730,MPK,2023-02-04,14.7,60.6,289.1,False,,удовлетворительно,,,,normal
68,414,PVK,2017-05-07,-8.2,31.3,275.7,True,потеря металла - ЯЗВА,удовлетворительно,45.43,150.3,47.4,high
69,211,UZK,2020-09-13,37.0,60.9,863.5,True,расслоение - ВМТ,допустимо,2.87,252.0,37.9,normal
70,477,VIBRO,2017-08-03,-8.1,40.5,929.4,True,потеря металла - ЯЗВА,удовлетворительно,15.74,207.2,92.8,normal
71,393,UTWM,2018-01-31,31.2,78.3,467.9,True,овальность - ОВЛ,допустимо,41.41,312.9,158.7,medium
72,45,VIBRO,2017-02-07,44.5,56.0,235.4,False,,удовлетворительно,,,,normal
